disini akan berisikan list komponen untuk membuat data logger

Partlist at 10/08/2023 11.01

Part  Value                                                  Device                                                 Package                      Description                                                                                                                                                                                                                                                          ARROW_PART_NUMBER ARROW_PRICE-STOCK AVAILABILITY CENTROID_NOT_SPECIFIED COLLECTOR_BASE_VOLTAGE COLLECTOR_EMITTER_BREAKDOWN_VOLTAGE COLLECTOR_EMITTER_SATURATION_VOLTAGE COLLECTOR_EMITTER_VOLTAGE DATASHEET                                           DESCRIPTION                                                                                   DEVICE_CLASS_L1                                                          DEVICE_CLASS_L2 DEVICE_CLASS_L3 DIGIKEY_DESCRIPTION          DIGIKEY_PART_NUMBER EMITTER_BASE_VOLTAGE HEIGHT  HFE_MIN LEAD_FREE MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MAX_COLLECTOR_CURRENT MAX_JUNCTION_TEMP MF                          MFG_PACKAGE_IDENT MFG_PACKAGE_IDENT_DATE MFG_PACKAGE_IDENT_REV MOUSER_DESCRIPTION                          MOUSER_PART_NUMBER MOUSER_PRICE-STOCK                                                                                                     MOUSER_TESTING_PART_NUMBER MOUSER_TESTING_PRICE-STOCK MP                 MPN         NUMBER_OF_ELEMENTS NUMBER_OF_NPN OC_FARNELL OC_NEWARK PACKAGE                    POPULARITY                 POWER_DISSIPATION PREFIX PRICE PROD_ID     PURCHASE-URL                                                    ROHS                                                         SF_ID     SF_SKU    SPICEPREFIX STANDOFF_HEIGHT TEMPERATURE_RANGE_HIGH VALUE          VERIFICATION_VERSION
BT1                                                          BATTERY-20MM_PTH                                       BATTCOM_20MM_PTH             Battery - Single Cell                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 BATT-09031                                                                                                                                         PRT-00783                                                                                       
C1    470uF                                                  CPOL-USE5-8.5                                          E5-8,5                       POLARIZED CAPACITOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C2    2200uF                                                 CPOL-EU153CLV-1014                                     153CLV-1014                  POLARIZED CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0                                                                                                                                                                                                                      C                                                                                     
C16   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C17   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C18   1uF                                                    C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C19   10uF                                                   C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C20   104                                                    C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C21   10uF                                                   C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C22   10uF                                                   C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C23   104                                                    C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C24   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C25   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C26   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
C27   0.1uF                                                  C-EUC0805                                              C0805                        CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  88                                                                                                                                                                                                                     C                                                                                     
